ID,University,Visibility Score,Openness Score,Excelence Score
1,Harvard University,3400000000,50658768,951
2,Stanford University,774500000,40442825,451
3,Massachusetts Institute of Technology,279300000,26265138,845
4,University of California Berkeley,270200000,26077114,256
5,University of Oxford,101600000,25959095,0
6,University of Michigan,108000000,23762098,173
7,University of Washington,127900000,6864628,0
8,Cornell University,549000000,18550524,0
9,Columbia University New York,166300000,23110488,0
10,Johns Hopkins University,64500000,12017656,0