ID,University,University Website
1,Harvard University,https://www.harvard.edu/
2,Stanford University,https://www.stanford.edu/
3,Massachusetts Institute of Technology,https://www.mit.edu/
4,University of California Berkeley,https://www.berkeley.edu/
5,University of Oxford,https://www.ox.ac.uk/
6,University of Michigan,https://umich.edu/
7,University of Washington,https://www.washington.edu/
8,Cornell University,https://www.cornell.edu/
9,Columbia University New York,https://www.columbia.edu/
10,Johns Hopkins University,https://www.jhu.edu/